2018_09_11_2|Here are the categories in the first round today. Science around us, isn't it? Go fly a kite. We'll deal with numerical cinema. I'm Alan. US history, and finally, that ended well. W-E-L-L coming up in each correct response. Champion, select.|Here are the categories in the first round today. Science around us, isn't it? Go fly a kite. We'll deal with numerical cinema. I'm Alan. US history, and finally, that ended well. W-E-L-L coming up in each correct response. Champion, select.
2018_09_19_10|With a knack for explaining complex legal issues with simple language, stay tuned with Preet. Preet being this ex-US attorney.|With a knack for explaining complex legal issues with simple language, stay tuned with Preet. Preet being this ex-US attorney.
2018_09_20_6|In I'll Be Gone in the Dark, Michelle McNamara detailed her quest for the California murderer she dubbed this.|In I'll Be Gone in the Dark, Michelle McNamara detailed her quest for the California murderer she dubbed this.
2018_07_02_11|what is New Orleans and Los Angeles. We go back to our champion Scott.|what is New Orleans and Los Angeles. We go back to our champion Scott.
2018_09_25_73|Ana Magnani was one of the Italian celebrities who boarded this liner in the years before its 1956 sinking.|Ana Magnani was one of the Italian celebrities who boarded this liner in the years before its nineteen fifty-six sinking.
2018_09_24_24|Nancy Schaupa, you still have a valentine from your husband that goes back to...|Nancy Schaupa, you still have a valentine from your husband that goes back to...
2018_07_02_91|That would be the Phoenix. Two clues left Scott.|That would be the Phoenix. Two clues left Scott.
2018_09_25_20|as Sherlock Holmes' Basil Rathbone sported this cap, also called a fore and after.|as Sherlock Holmes' Basil Rathbone sported this cap, also called a fore and after.
2018_09_14_36|They make meatballs of him.|They make meatballs of him.
2018_09_26_51|What is the Elder Scrolls?|What is the Elder Scrolls?
2018_09_24_44|With eyes that are adapted for its hunting time when small fish rise to the surface to feed on plankton, the swallowtail gull is the only gull that can be described by this nine-letter adjective.|With eyes that are adapted for its hunting time when small fish rise to the surface to feed on plankton, the swallowtail gull is the only gull that can be described by this nine-letter adjective.
2018_09_13_27b|Do they tend to be shy rather than outgoing at that age?|Do they tend to be shy rather than outgoing at that age?
2018_09_14_79|The advantages of riding this big creature include an immunity from collisions and the fine view one has from up there.|The advantages of riding this big creature include an immunity from collisions and the fine view one has from up there.
